genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000005317	-0.0293667620793314	7.01642935665393	0.136766048436235	0.719098435254584	0.925760868483981
ENSGMOG00000018006	0.0562431809864083	2.30823574581439	0.136751821600477	0.719112334429477	0.925760868483981
ENSGMOG00000019667	-0.0265190819287398	4.32306211114856	0.136744043135054	0.719119934098654	0.925760868483981
ENSGMOG00000017720	0.0348809021789574	3.50230028746427	0.136706050165504	0.719157057326614	0.925760868483981
ENSGMOG00000000105	-0.110370243401001	0.0576200387402322	0.136693404248605	0.719169415064792	0.925760868483981
ENSGMOG00000007855	-0.0406105561252824	3.34315043218398	0.136687021231532	0.719175652873112	0.925760868483981
ENSGMOG00000013238	0.0275060281757089	5.05347995087949	0.136658092564907	0.719203925531225	0.925760868483981
ENSGMOG00000001713	0.0381900341205191	3.02820477162974	0.136648067809429	0.719213723759265	0.925760868483981
ENSGMOG00000007147	-0.0335858214506731	6.15829217860454	0.136597897172487	0.719262766901255	0.925760868483981
ENSGMOG00000013025	0.101973731845255	0.458597217438615	0.136559948257507	0.719299869851295	0.925760868483981
ENSGMOG00000018353	-0.0511170509582552	1.68336967762888	0.136500633023969	0.719357874673947	0.925760868483981
ENSGMOG00000011040	0.0749311431942016	0.0324485161917171	0.136472529851176	0.719385362033636	0.925760868483981
ENSGMOG00000014648	-0.0329186252791406	4.75146959283194	0.136421845734562	0.719434943744542	0.925760868483981
ENSGMOG00000015902	-0.0345021210062287	5.11189624096052	0.136288926709341	0.719565021950008	0.925760868483981
ENSGMOG00000004925	0.0275223183867805	5.96223336196222	0.136251650323741	0.719601514714074	0.925760868483981
ENSGMOG00000019038	0.0833940778689533	0.237317807090303	0.136216847829126	0.719635590764836	0.925760868483981
ENSGMOG00000019589	-0.0263785191238357	6.01177277226174	0.136215686870205	0.719636727576781	0.925760868483981
ENSGMOG00000016938	0.0308590729223962	6.15080906605793	0.136125125313439	0.719725422666265	0.9257991390988
ENSGMOG00000008593	-0.0339655145634316	3.16645518753405	0.135831753076849	0.720012981219417	0.926093185081662
ENSGMOG00000009360	-0.0595334114697649	1.69205022619826	0.135701758262489	0.720140513866675	0.926103333346517
ENSGMOG00000008371	-0.0472156768073559	4.9863077999834	0.135692405657709	0.720149692029933	0.926103333346517
ENSGMOG00000005389	-0.0256229515468574	7.16233051812823	0.135643423980875	0.720197766044465	0.926103333346517
ENSGMOG00000000612	0.0296311237168179	6.87225504848756	0.135438261508452	0.720399234978763	0.926276077232363
ENSGMOG00000007105	-0.0315133766272188	10.8922328195392	0.13538653820739	0.720450054722434	0.926276077232363
ENSGMOG00000000402	-0.0504017876319462	4.96232344254403	0.135076962074258	0.720754455798943	0.926383794007539
ENSGMOG00000004243	0.0282113803865144	4.40023457630005	0.135032248106325	0.720798455342942	0.926383794007539
ENSGMOG00000009547	-0.026933698008795	5.61100090894739	0.135027543140825	0.720803085619748	0.926383794007539
ENSGMOG00000006582	-0.0355206271083615	4.03839795688002	0.134995426240573	0.720834695152615	0.926383794007539
ENSGMOG00000010467	0.0613502042345643	0.943535591819712	0.134939581302864	0.720889668143721	0.926383794007539
ENSGMOG00000005875	-0.0279156759546434	6.07295015446614	0.134934738928514	0.720894435524945	0.926383794007539
ENSGMOG00000002848	0.0398981324548323	2.63529601951307	0.134881643066415	0.720946715532545	0.926383794007539
ENSGMOG00000002794	-0.0696924475223646	0.148349075632338	0.13475896888434	0.721067549862177	0.92646326391814
ENSGMOG00000018122	-0.0359030708082984	4.83569564011029	0.13468396209549	0.721141462763563	0.926482438786464
ENSGMOG00000009725	-0.045150473075	7.19419698515944	0.134574771705885	0.721249102908322	0.926526668828661
