genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000015687	-0.563725429400581	4.94068282506669	4.70390809188863	0.0472061811570266	0.119648186501682
ENSGMOG00000000252	-0.301831114205186	3.01679101732464	4.7023773037788	0.0472375660698099	0.119704390350747
ENSGMOG00000013900	-0.223667962168352	4.34823362085298	4.7017781206531	0.0472498574651212	0.119704390350747
ENSGMOG00000011443	-0.250217595640883	3.34668718481142	4.70175262100455	0.0472503806376823	0.119704390350747
ENSGMOG00000001257	-0.494948232361935	2.60965638850035	4.70069035926355	0.0472721809507928	0.119741014510281
ENSGMOG00000002841	-0.438398452662832	7.33480754497891	4.69815325438899	0.0473242965998014	0.119838361324535
ENSGMOG00000007101	0.257766948648315	6.05265266183947	4.69810386576509	0.0473253117797411	0.119838361324535
ENSGMOG00000017561	0.460237029130483	2.41623913060681	4.69695019158159	0.0473490327533803	0.119879810410538
ENSGMOG00000004039	0.527981215420023	2.08361959303191	4.69572806859097	0.0473741763481499	0.119924847905074
ENSGMOG00000000973	0.480201431135852	1.23953520930948	4.69495891632902	0.0473900086960112	0.119932016394975
ENSGMOG00000012342	-0.308836128781242	3.47281302168393	4.6948758360607	0.0473917192047118	0.119932016394975
ENSGMOG00000005498	-0.313423721485078	5.30406195417879	4.69068494202332	0.0474780980983652	0.120131966091534
ENSGMOG00000019553	-0.214600327529835	6.99689971090242	4.68980190197895	0.0474963220879007	0.120159430821291
ENSGMOG00000010585	0.205697497307445	4.62577795577987	4.6890984045418	0.0475108465945944	0.120177529277825
ENSGMOG00000005507	-0.611586870719589	-0.0491595494251971	4.68868205142313	0.0475194451361916	0.120180634860494
ENSGMOG00000016863	-0.374028860909547	4.20061430018789	4.68490415472119	0.0475975499861268	0.120359499460887
ENSGMOG00000019164	-0.327483649895925	8.47673587938253	4.68433713331369	0.0476092856850988	0.120363529479878
ENSGMOG00000018106	-0.293570753924267	3.22760444536139	4.6841138610495	0.0476139077059313	0.120363529479878
ENSGMOG00000009320	0.211486940323448	5.36655586826964	4.68328513894634	0.0476310679193517	0.120388244059065
ENSGMOG00000015234	-0.279340003781049	10.5246572211512	4.68067282110878	0.0476852083075159	0.120500874010466
ENSGMOG00000017529	0.283058108819454	2.76978071734301	4.68042200401095	0.0476904103029462	0.120500874010466
ENSGMOG00000008923	-0.219424279524585	4.23256349148521	4.67896835512767	0.04772057239067	0.120558402979528
ENSGMOG00000005471	0.422086108027145	1.30341977399714	4.67838817219048	0.0477326169914674	0.120570150278215
ENSGMOG00000011573	-0.169034540551109	6.27219885150235	4.67420949077921	0.0478194719732968	0.120765950022006
ENSGMOG00000014690	-0.365716837438122	2.81508059600156	4.67394644386517	0.0478249456787545	0.120765950022006
ENSGMOG00000003769	-0.236338887605596	5.3376528226757	4.67177938810131	0.0478700676432805	0.120861172642256
ENSGMOG00000014886	-0.240481288131232	4.25294154413001	4.67093155151507	0.0478877347183076	0.120871252445797
ENSGMOG00000005845	-0.263658437757125	6.57716359823805	4.67087630122298	0.0478888862802727	0.120871252445797
ENSGMOG00000014173	-0.270175206627223	5.14277342710665	4.66961386267167	0.0479152076965913	0.120918969430881
ENSGMOG00000018492	-0.243595883437013	4.93515126597296	4.66454024661013	0.0480211623798786	0.121167603312275
ENSGMOG00000010446	-0.289282888733061	8.37438514673591	4.66321997912119	0.0480487792455682	0.12121852786616
ENSGMOG00000004718	0.285065447529364	5.15630593256506	4.66209311663032	0.0480723652937776	0.121229089707899
ENSGMOG00000003169	0.278642733623475	5.07037309623865	4.66166159991604	0.0480814008518026	0.121229089707899
ENSGMOG00000014816	-0.205596728337698	4.64351178716363	4.66140112278874	0.0480868559656667	0.121229089707899
ENSGMOG00000003621	-0.293318172375605	3.16590433951031	4.66133936541737	0.0480881494430065	0.121229089707899
ENSGMOG00000003658	-0.335197996638142	3.13371823527235	4.66105044389737	0.048094201302972	0.121229089707899
ENSGMOG00000004162	-0.232916025437682	4.36915987317496	4.66063546985197	0.048102895072267	0.121229089707899
ENSGMOG00000014695	-0.264167748682305	4.9798206111532	4.66053446725303	0.048105011371365	0.121229089707899
ENSGMOG00000017739	-0.264281480747617	7.54392429733095	4.65757088359865	0.048167155803257	0.121366941024897
ENSGMOG00000018782	0.384016802631297	4.19419969333465	4.65576675762252	0.0482050333338025	0.121431070812705
ENSGMOG00000018372	-0.382152999979417	2.05790207422812	4.65538536019919	0.0482130452321563	0.121431070812705
ENSGMOG00000010820	-0.200030895330193	6.06998216942239	4.65529471815358	0.0482149495517602	0.121431070812705
ENSGMOG00000010718	0.208120076010722	4.78290400924526	4.65453988387685	0.0482308114708188	0.121452259618796
ENSGMOG00000001437	-0.390651445085	2.41564109363069	4.65413620590342	0.0482392967852266	0.12145486937664
ENSGMOG00000005982	-0.772955456204808	0.710017266421545	4.65205262344554	0.0482831216000271	0.12154644089678
ENSGMOG00000004432	0.305475119936283	2.15757792056958	4.65157165315047	0.04829324468169	0.121553157538585
