genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000002186	-0.0450904867967509	-0.0643167724945981	10.1421840171072	0.365833317894339	0.700747881465077	0.761254033458428
ENSGMOG00000011484	-0.0477922038614525	0.0294915527070672	5.45116160968579	0.365564233419548	0.700926121009231	0.761395937847878
ENSGMOG00000017270	0.0755145000701091	-0.131497020698681	0.712188251670721	0.365488493769389	0.700976299860813	0.761398723751818
ENSGMOG00000010397	0.18180031634122	0.14297185877005	0.0144749258620379	0.365318448196865	0.701088973210002	0.761469386035532
ENSGMOG00000002726	-0.0617673180997281	-0.104711304005221	2.72904569958832	0.363838617447852	0.702070405563915	0.762483554426282
ENSGMOG00000020404	-0.115126516287462	-0.215308368279244	1.13665379410966	0.363630723446006	0.702208409564724	0.762581641925264
ENSGMOG00000010124	-0.153302780356136	-0.0952458146753075	1.1265879611049	0.363437813236483	0.702336495155061	0.762668945675986
ENSGMOG00000010916	0.0695767401263403	0.0775122955281448	3.68524771560748	0.363233558155257	0.702472142848053	0.762764448718899
ENSGMOG00000019485	-0.0302847362463145	0.0384377830551432	5.20373363487484	0.362546895082684	0.702928384777695	0.763184037049534
ENSGMOG00000001521	0.0324068926437984	-0.0343865471174068	5.78417029865553	0.36250833323482	0.702954016740828	0.763184037049534
ENSGMOG00000012181	-0.0398502235249508	-0.12067998161839	2.05391880658534	0.362328133705338	0.703073809270112	0.763262273186582
ENSGMOG00000004136	-0.0503200036850628	-0.0905602466961161	6.44914854337599	0.361912836914194	0.703349979173181	0.76351025164336
ENSGMOG00000018090	-0.0539309992082299	0.0205277725326844	3.50634646363403	0.361564326852475	0.70358183330181	0.763710093424466
ENSGMOG00000000531	-0.100608097109525	-0.0414817201828227	3.23956182662354	0.360266297181981	0.704446156139163	0.764596381105095
ENSGMOG00000019989	-0.119440329932483	0.0823871293611805	0.666162179774038	0.359272206433211	0.705108926236764	0.765263800695812
ENSGMOG00000018362	-0.222393445896538	-0.0515899030108881	1.61784200877817	0.359199493801952	0.705157432815107	0.765264506830429
ENSGMOG00000013883	-0.045591609436172	-0.153879107708186	6.3874309204251	0.358932278871294	0.705335725045955	0.765395580381019
ENSGMOG00000014877	-0.0183944658869018	-0.069846548775512	7.84312416424293	0.358872257483213	0.705375779943882	0.765395580381019
ENSGMOG00000020553	-0.16633781665498	-0.119731806059233	1.26998230590169	0.358803296702873	0.705421803743072	0.765395580381019
ENSGMOG00000018584	-0.0897069886368923	-0.0413145511839271	3.85384649214758	0.358134563012532	0.705868291061562	0.765828064479642
ENSGMOG00000011917	-0.069761212196253	0.015940756517147	2.61382051219141	0.357630168404333	0.706205272244112	0.766141689854518
ENSGMOG00000017423	-0.0690712496462056	-0.0336933699063287	3.21159739361779	0.357425458233009	0.706342090315476	0.766238136234636
ENSGMOG00000018576	-0.0946881530594477	0.003398330757433	2.64674519521114	0.35708581761246	0.706569156928682	0.766432464282089
ENSGMOG00000011893	0.337728803445204	0.0179811825566573	4.53779705360094	0.356828806890407	0.70674103757126	0.766566908485519
ENSGMOG00000016912	-0.00182702675011594	-0.0617054885830745	6.49008673362048	0.356532880378019	0.706939003873666	0.766729626352672
ENSGMOG00000016613	-0.0173830492594644	0.0703040751436684	3.62425829165882	0.356452116652225	0.706993043637419	0.766732928276531
ENSGMOG00000008745	0.0702197103928156	0.0135601881223871	4.08842381874294	0.356318378739504	0.70708253945056	0.766732928276531
ENSGMOG00000013812	-0.072540949745043	0.0385885977083132	1.62036681502014	0.356274921277704	0.707111623490468	0.766732928276531
ENSGMOG00000009316	0.044829950273166	0.0924826913272458	3.43932405198016	0.35624172755741	0.707133839423568	0.766732928276531
ENSGMOG00000008145	-0.0701047054570098	-0.0252659983994909	4.94317999369813	0.356064123373492	0.707252720306776	0.76679749901706
ENSGMOG00000003803	-0.0272662047165063	0.0726510426845181	2.67536128931479	0.356009489471962	0.707289294634584	0.76679749901706
ENSGMOG00000010725	0.0162735297270709	0.141575507541023	1.84277299713134	0.355865324141647	0.707385815746054	0.766813429638354
ENSGMOG00000018943	-0.0829372454514024	-0.116709611439272	5.60118763160416	0.35578409277573	0.70744020823332	0.766813429638354
ENSGMOG00000014418	0.097333021329831	0.208674661219722	0.614749251811534	0.355772684825255	0.707447847380066	0.766813429638354
ENSGMOG00000003335	-0.027599232299235	0.0217359465836482	6.07206211597858	0.355622634055083	0.70754833531207	0.766870369389678
ENSGMOG00000007079	0.0567190689304315	0.0465855474832354	7.09019687916823	0.355184757980649	0.707841672366577	0.767093478501654
ENSGMOG00000003539	0.184286229970112	0.147201711051103	-0.128818383257262	0.355172141653249	0.707850126244163	0.767093478501654
ENSGMOG00000013624	0.0564073774420391	0.00516472187793591	6.60668853376571	0.35483985037434	0.708072828236638	0.767282821463176
ENSGMOG00000012156	0.0207136783777215	-0.0819508163709923	2.76420603424333	0.354462833516745	0.708325603681855	0.767504724791743
ENSGMOG00000017284	0.0915305703280345	-0.0858395371251308	0.371140043358563	0.353608802599818	0.708898585675938	0.767936444834788
ENSGMOG00000019116	-0.0678673378534448	0.0161753768127344	5.46698322691181	0.35354176048232	0.708943587955821	0.767936444834788
ENSGMOG00000012263	-0.0508485024148556	-0.0373737045292803	9.87492719071172	0.353528290695152	0.708952630001741	0.767936444834788
ENSGMOG00000000838	-0.0499242521018047	-0.0325276290020669	11.4703604094662	0.353477984162771	0.708986401128547	0.767936444834788
ENSGMOG00000015624	0.059405804151158	-0.0101854826255071	4.17124978682602	0.353475586559293	0.708988010703056	0.767936444834788
ENSGMOG00000014580	0.108163039682759	0.0971001698965833	2.22443868977435	0.353406832157287	0.709034169149812	0.767936444834788
ENSGMOG00000000236	-0.0604126111244184	0.0110625876248991	7.48616180598234	0.353322949621747	0.709090488624076	0.767936444834788
ENSGMOG00000013823	-0.0774136227890355	-0.0441490550902654	3.68510897364868	0.353296542158511	0.709108219900599	0.767936444834788
ENSGMOG00000003836	-0.0350452966625188	-0.0668314744779699	5.617185342242	0.353018363909941	0.709295033745022	0.768057909206273
ENSGMOG00000009357	-0.0718368458757819	0.00367079553866905	3.69160323758968	0.352986492957629	0.709316440695281	0.768057909206273
ENSGMOG00000011312	-0.0425774809655331	0.016900539422891	4.5144408399148	0.352844969497993	0.709411507634177	0.768108837333477
ENSGMOG00000017242	0.0588635991807528	-0.0147517009950725	4.47046144274204	0.352679518388028	0.709522666447223	0.768177180714796
ENSGMOG00000009843	0.0194202875190695	-0.0421130407976938	6.12149798379559	0.352485284944921	0.709653188509771	0.7682664773854
ENSGMOG00000011332	-0.145132476184248	-0.0247361232840391	4.79534558796786	0.35188682983344	0.710055516634196	0.768649997732022
ENSGMOG00000006342	0.106230519279173	0.157388238850177	0.550822625388371	0.351139961429376	0.710557990523158	0.769141868710202
ENSGMOG00000013475	0.0803112593555244	0.0887699399737625	2.65152549043253	0.351022832727548	0.710636829074934	0.76915516065591
ENSGMOG00000014231	-0.0420148627688727	-0.0687037939962804	4.91003675011175	0.350978801895788	0.710666468556755	0.76915516065591
ENSGMOG00000003632	-0.0346885087514357	-0.0666325591514417	8.29054842676845	0.349821171368714	0.711446245033722	0.769947002188295
ENSGMOG00000003120	0.083433892132323	0.0609953593460534	2.70058980164267	0.349565434304664	0.711618642430462	0.770081458422245
ENSGMOG00000007391	0.00654427576964703	-0.038970860578171	5.4844932635738	0.348998803923325	0.712000791611871	0.770440830992099
ENSGMOG00000003507	0.0861327892873559	-0.0634758871291815	1.91631303210375	0.348930176760298	0.712047091566021	0.770440830992099
ENSGMOG00000018546	0.000634969540115137	0.0443755125139239	9.00655437796803	0.347905326133663	0.712738931799632	0.771137229932876
ENSGMOG00000010443	-0.111254835765562	-0.149567021385966	1.38709199697364	0.347664664569213	0.712901506776081	0.771260942754639
ENSGMOG00000006346	0.055755910254886	-8.37786098517829e-05	6.45553646670759	0.34726455969796	0.713171886175604	0.771411014178612
ENSGMOG00000000033	-0.0385000926701189	-0.0995448310304004	3.34505282084732	0.347254922944833	0.713178399882289	0.771411014178612
ENSGMOG00000013696	-0.03509613209574	-0.0674423019948277	6.24512231349881	0.347245241847265	0.71318494363183	0.771411014178612
ENSGMOG00000009653	-0.150164010034657	0.000658987952579717	0.0117801727021872	0.34703286660234	0.713328512051228	0.771473720469823
ENSGMOG00000017411	0.135421530480641	0.0782559187712119	2.56686679997404	0.347016754593565	0.713339405344681	0.771473720469823
ENSGMOG00000005132	-0.178741022945152	-0.195672665742405	1.52743686339393	0.346849210893045	0.713452692693996	0.771534669694995
ENSGMOG00000001386	0.103366631745323	0.0965955144780455	2.34691794917673	0.346790704169293	0.713492257860646	0.771534669694995
ENSGMOG00000013770	0.0611002906252278	-0.0344476542915832	2.95868955914354	0.346412617346362	0.713748000349334	0.771729999446055
ENSGMOG00000020157	0.0114517916638776	0.0621489023480168	4.16165846578929	0.346380967458087	0.71376941353306	0.771729999446055
ENSGMOG00000020475	-0.153349941187873	0.0724268230489614	0.33125628333929	0.346144805993872	0.713929215444362	0.771850590505766
ENSGMOG00000009021	-0.0917708210878624	-0.0881869572593059	7.15976462788621	0.345804343383337	0.714159667131818	0.772047541718827
ENSGMOG00000016584	-0.0255635000888587	0.0312437748114848	6.05127850005766	0.345241171714007	0.714541054942153	0.77240762587575
ENSGMOG00000017163	-0.0514941000830008	-0.0470609690654831	6.21049224044136	0.344660513278779	0.714934532165653	0.772780728934768
ENSGMOG00000007357	0.0653755148574866	0.0127689289857187	5.83337941213926	0.344043976583517	0.715352596765001	0.773180356530526
ENSGMOG00000007581	-0.0596007893237345	-0.0486119426769856	10.1550904917221	0.343274379834644	0.715874846710271	0.773681132407936
ENSGMOG00000015472	0.0711755315969714	0.0286277630552377	5.12779925666045	0.34321864866405	0.715912683149285	0.773681132407936
ENSGMOG00000016575	-0.124865718038181	-0.0678362709917147	1.08971092329524	0.343048447444119	0.716028248773779	0.773730205441609
ENSGMOG00000012679	-0.203697914368693	-0.330339121464464	1.24944582589094	0.342931822821993	0.716107448684666	0.773730205441609
ENSGMOG00000017134	0.0496106951572807	0.104872838682358	2.85415332005198	0.342810910778142	0.716189570905861	0.773730205441609
ENSGMOG00000018425	-0.00992198056687558	0.179616965903983	0.121062492051654	0.342763097340621	0.716222048313417	0.773730205441609
ENSGMOG00000019984	-0.0183081912596537	-0.123345046942	0.958863001089358	0.342742775615041	0.716235852417604	0.773730205441609
ENSGMOG00000009488	-0.0413807462790115	0.0460054131861501	2.87390526131053	0.342724297927899	0.716248404174357	0.773730205441609
ENSGMOG00000019507	0.019683736268599	-0.111495086751736	3.45972168322611	0.342563350301263	0.716357745490894	0.773796048915489
ENSGMOG00000009025	0.02226251874633	-0.0426866372134703	4.66811001796187	0.341996147638244	0.716743234283254	0.774160152612193
ENSGMOG00000009257	-0.05760050862139	-0.00645454395560353	6.91246722295784	0.341916657338202	0.716797277595404	0.774166234366345
ENSGMOG00000016003	-0.012635302039564	0.0486653780319129	4.75862605657062	0.341174721935491	0.717301927244278	0.774608306574308
ENSGMOG00000017500	-0.0278166293758124	-0.05026078866863	5.3353174686488	0.341172453328103	0.717303470936924	0.774608306574308
ENSGMOG00000001344	0.0181601250874784	0.0492773262684147	6.2305538236648	0.340952262876164	0.717453319669994	0.774672902466634
ENSGMOG00000012012	-0.0248875867850225	-0.104862465806945	2.29937373199257	0.340942188313934	0.717460176695069	0.774672902466634
ENSGMOG00000007045	-0.073144754175935	0.00508323302605323	9.00524922014066	0.340204042683015	0.71796278564945	0.775163250646166
ENSGMOG00000019361	0.0272498869910968	0.0897584695538832	2.59848334723224	0.339732311128123	0.718284204917614	0.775375591298721
ENSGMOG00000010159	0.108860305462439	0.135334547479099	5.92411393344554	0.339704697877249	0.718303024662136	0.775375591298721
ENSGMOG00000008926	-0.0679151407169957	-0.0177584540896035	3.4532448483718	0.339701913891826	0.718304922112391	0.775375591298721
