genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000005003	0.422793832533605	0.32037391601576	3.93800765556711	4.99295629088784	0.0248928622232471	0.118839952593864
ENSGMOG00000005435	-0.593059187434965	-0.15804895820028	1.44754931742114	4.99279737232529	0.0248950871300557	0.118839952593864
ENSGMOG00000008774	0.299088485434644	0.47151795812763	3.05838407193471	4.99276158402768	0.0248955882085007	0.118839952593864
ENSGMOG00000002134	0.53518480724198	0.197535145937347	1.41393375229994	4.98969606929182	0.0249385523331592	0.119009812480672
ENSGMOG00000010350	0.216643019872497	0.0378008788943004	4.66370767494903	4.98915791442373	0.02494610357785	0.119010627275986
ENSGMOG00000013066	0.228381939327498	0.158315412264748	6.10626123651607	4.98784532969576	0.0249645325010484	0.119028776095725
ENSGMOG00000006835	0.612862509828768	0.103131442646233	0.840924074491809	4.98783546557505	0.0249646710546196	0.119028776095725
ENSGMOG00000005002	-0.141707369450211	0.0434739097237961	5.84725309234978	4.98581111575256	0.0249931243271674	0.119129213649298
ENSGMOG00000002448	-0.268778887540033	-0.165134749131301	8.21692153472827	4.98091812604681	0.0250620527303392	0.119422458710614
ENSGMOG00000005894	0.698594794107496	0.625369622316702	0.860221336682754	4.97409101099663	0.0251585949969777	0.119847073656209
ENSGMOG00000004317	-0.320728340682203	-0.193061558590715	6.6196852854855	4.97294289834371	0.0251748726518921	0.119889197138736
ENSGMOG00000016419	0.436519050782328	0.436477520663909	4.25170791179937	4.97105359188146	0.0252016852727878	0.119947992662959
ENSGMOG00000002647	0.421683866146522	0.3070132031876	2.2993971027728	4.97102466375811	0.0252020960708282	0.119947992662959
ENSGMOG00000002912	-0.250289670996756	-0.316007688780368	5.94250727392023	4.96433004795224	0.025297372434499	0.120365928151755
ENSGMOG00000003134	-0.633847431356312	0.0852956807254757	-0.0243029474836431	4.96071703379609	0.025348965035705	0.120571605947202
ENSGMOG00000017918	0.544964562766102	0.666659584488054	0.469222435592789	4.96025619015509	0.0253555544661683	0.120571605947202
ENSGMOG00000001036	-0.174913628157131	-0.161753934836053	7.29882198144107	4.95713436785832	0.0254002444020997	0.120745593867532
ENSGMOG00000013749	-0.246456342960492	-0.0120144115731897	9.44532422801723	4.95665467875005	0.0254071193793821	0.120745593867532
ENSGMOG00000013837	-0.215984233168204	-0.412550979075747	11.6843209390974	4.95510618731271	0.0254293272768234	0.120815528090388
ENSGMOG00000014401	0.179184601155923	-0.0304196456503315	6.0292566574569	4.95337495202222	0.025454182589204	0.120856451024609
ENSGMOG00000006155	0.375809216285304	0.249393232091593	2.58811266011682	4.95333228551954	0.0254547955058331	0.120856451024609
ENSGMOG00000016875	-0.199553294195132	-0.0268227722724456	7.52455432726758	4.95294041182384	0.0254604256825177	0.120856451024609
ENSGMOG00000005587	-0.280462619747865	-0.135754188411521	3.4473558755779	4.95124263636013	0.0254848348066962	0.120871470035879
ENSGMOG00000014697	0.300279635434176	0.34854252496925	2.93009855611566	4.95098661854081	0.0254885179524212	0.120871470035879
ENSGMOG00000015293	0.264723995219081	0.124027629697064	4.04915081633105	4.95066484149963	0.0254931480017883	0.120871470035879
ENSGMOG00000020246	1.31471584858712	0.527588618487078	-0.363215051256406	4.95060364589263	0.025494028655303	0.120871470035879
ENSGMOG00000007486	-0.301271788198	-0.164720300506884	5.78293156635778	4.95011449340175	0.0255010692131511	0.120871470035879
ENSGMOG00000000546	0.373866234296677	-0.342707732633547	-0.167048598946872	4.94895738325583	0.02551773288746	0.120914911199028
ENSGMOG00000015480	-0.300104773180193	-0.1530376074798	3.40491762313184	4.94764813359707	0.0255366027190874	0.120943481173358
ENSGMOG00000010308	0.423975270868753	0.445501858998593	1.32016336708542	4.94749831760595	0.0255387630012578	0.120943481173358
ENSGMOG00000009774	-0.256456564364506	-0.105566353031345	3.2740317836446	4.94560832205089	0.0255660340734868	0.121037081454778
ENSGMOG00000007015	0.164928729162204	0.170572882277449	4.76984067145994	4.94495661932873	0.0255754454076571	0.121046098385228
ENSGMOG00000017471	-0.0859199674762924	0.27663492425322	2.92457550469795	4.94144918498204	0.025626165602071	0.121250563478109
ENSGMOG00000016796	0.192183722224019	0.225190720215417	5.73222294627957	4.94023094831968	0.0256438094362642	0.12129845325895
ENSGMOG00000005617	0.539444055994652	0.311766233631825	1.15336302612111	4.9395215737324	0.0256540898423548	0.121311495222279
ENSGMOG00000003851	-0.208016195219851	-0.144673883499468	5.74789053865933	4.93843592327529	0.0256698325430531	0.121350351731671
ENSGMOG00000013309	-0.180811672777267	0.185022787176472	2.48180240500726	4.93691873525257	0.0256918515537758	0.121418847099834
ENSGMOG00000001914	0.243713464003162	0.012564905920574	4.82719755282589	4.93574810760452	0.0257088558409856	0.121463609855228
ENSGMOG00000016749	-0.193851658633378	-0.165333423407799	5.37764826376163	4.93242836588498	0.0257571484971749	0.121641956922381
ENSGMOG00000001978	-0.208834407781237	-0.132046383611614	7.36617401236852	4.9321164085823	0.0257616919621663	0.121641956922381
ENSGMOG00000017932	0.61774482743453	0.393042517297981	0.614374980480011	4.93044181337159	0.025786097243558	0.121714389298777
ENSGMOG00000010622	-0.15180017495712	0.0672488189909082	7.68725773643651	4.93002827065015	0.0257921282625686	0.121714389298777
ENSGMOG00000009043	-0.290655371820856	-0.232537128452564	3.0372312359775	4.92794728031982	0.0258225017383859	0.121800449086689
ENSGMOG00000003607	-0.24642447790591	-0.15959910466962	6.95296056971492	4.92774393188266	0.0258254719644893	0.121800449086689
ENSGMOG00000001980	0.653134236923146	0.647121380467721	0.540519402845395	4.92637404188545	0.0258454916722355	0.121859226086198
ENSGMOG00000001603	-0.0952021145982344	-0.393147168419472	4.23180197032861	4.92550980180861	0.0258581309900506	0.121871300890794
ENSGMOG00000010815	-0.704947302768974	-0.475366720653101	-0.126250578015603	4.92516548924429	0.0258631684743129	0.121871300890794
ENSGMOG00000006822	0.155183709678495	0.223759999643824	4.75576279851917	4.92434372254915	0.0258751959629327	0.121892356091817
ENSGMOG00000011509	-0.242362320665848	-0.10833979938446	6.04405962714046	4.92229123645973	0.0259052646766208	0.121971444806636
ENSGMOG00000007134	-0.178387466861116	-0.1167579387814	7.22609535485022	4.92216515435733	0.02590711308296	0.121971444806636
ENSGMOG00000009500	-0.236000882298806	-0.140646921651659	3.7925476834818	4.9203450977709	0.0259338127199904	0.1220581511013
