ID	sample_16	sample_17	sample_18
ENSGMOG00000000553	610	542	435
ENSGMOG00000000554	2657	2062	1856
ENSGMOG00000000555	8750	6763	5638
ENSGMOG00000000556	226	186	152
ENSGMOG00000000557	1665	1488	1182
ENSGMOG00000000558	0	1	0
ENSGMOG00000000559	11609	10023	8974
ENSGMOG00000000560	4024	3295	2585
ENSGMOG00000000561	18429	12135	15785
ENSGMOG00000000562	0	0	0
ENSGMOG00000000563	12800	10727	9233
ENSGMOG00000000564	1268	1015	917
ENSGMOG00000000565	557	425	320
ENSGMOG00000000566	801	680	530
ENSGMOG00000000567	77	32	46
ENSGMOG00000000568	89	55	38
ENSGMOG00000000569	7972	8318	5524
ENSGMOG00000000570	190	211	146
ENSGMOG00000000571	1969	1386	1783
ENSGMOG00000000572	1096	1013	782
ENSGMOG00000000573	137	110	105
ENSGMOG00000000574	34	32	20
ENSGMOG00000000575	906	594	560
ENSGMOG00000000576	303	358	236
ENSGMOG00000000577	929	940	610
ENSGMOG00000000578	1797	2090	1308
ENSGMOG00000000579	3	5	3
ENSGMOG00000000580	968	1099	626
ENSGMOG00000000581	1590	1454	1004
ENSGMOG00000000582	6	2	1
ENSGMOG00000000583	15076	11609	12151
ENSGMOG00000000584	1231	1223	930
ENSGMOG00000000585	74	36	61
ENSGMOG00000000586	25	26	17
ENSGMOG00000000587	5522	4847	3431
ENSGMOG00000000588	3	0	0
ENSGMOG00000000589	2898	2714	2081
ENSGMOG00000000590	0	1	1
ENSGMOG00000000591	1010	827	724
ENSGMOG00000000592	345	355	271
ENSGMOG00000000593	27	20	14
ENSGMOG00000000594	19	11	35
ENSGMOG00000000595	5925	6067	4047
ENSGMOG00000000596	863	761	597
ENSGMOG00000000597	2437	2321	1632
ENSGMOG00000000598	1264	1231	932
ENSGMOG00000000599	49	24	14
ENSGMOG00000000600	5036	4243	3780
ENSGMOG00000000601	14	32	19
ENSGMOG00000000602	775	668	523
ENSGMOG00000000603	2702	2578	1746
ENSGMOG00000000604	14	10	6
ENSGMOG00000000605	177	72	138
ENSGMOG00000000606	887	868	632
ENSGMOG00000000607	12	8	6
ENSGMOG00000000608	14191	12169	9491
ENSGMOG00000000609	5738	5560	4379
